"Median_Household_Income","Mean_Household_Income","ZCTA5"
58176,76956,"12814"
60458,72851,"12815"
50417,58805,"12816"
59861,65909,"12817"
43839,51523,"12819"
34000,43622,"12821"
52578,63590,"12822"
82639,63198,"12823"
61650,90349,"12824"
62917,67990,"12827"
51250,69048,"12828"
78505,88922,"12831"
43918,53400,"12832"
65898,78690,"12833"
56104,74462,"12834"
51148,56791,"12835"
61739,70516,"12836"
45446,65674,"12837"
56250,66582,"12838"
44350,56318,"12839"
27500,81187,"12841"
37321,48430,"12842"
38393,53096,"12843"
60000,72499,"12844"
66710,88725,"12845"
53112,62732,"12846"
62917,80638,"12847"
70263,79731,"12849"
74622,91358,"12850"
48036,54806,"12851"
46094,54603,"12852"
38906,44552,"12853"
44583,50220,"12855"
NA,73923,"12856"
49397,63702,"12857"
NA,38579,"12858"
55776,68518,"12859"
38043,50755,"12860"
63125,84011,"12861"
NA,NA,"12862"
69125,81800,"12863"
NA,NA,"12864"
57000,59329,"12865"
70515,92897,"12866"
55938,67369,"12870"
64653,85768,"12871"
28750,22880,"12872"
48750,61433,"12873"
69583,91449,"12874"
50500,55376,"12878"
52936,66062,"12883"
46250,53794,"12884"
53232,64032,"12885"
NA,74375,"12886"
47440,54227,"12887"
43642,57867,"12901"
50583,59685,"12903"
56447,66437,"12910"
NA,NA,"12911"
50714,66314,"12912"
55761,69534,"12913"
50208,61352,"12914"
55865,76317,"12916"
55417,61848,"12917"
58906,68877,"12918"
42226,52079,"12919"
50150,57741,"12920"
63750,79943,"12921"
53125,48900,"12922"
40375,56059,"12923"
39479,45514,"12924"
50500,61705,"12926"
43750,55916,"12927"
44669,54040,"12928"
45795,52379,"12929"
45357,59104,"12930"
46875,58373,"12932"
NA,NA,"12933"
38393,52931,"12934"
48514,76529,"12935"
60147,75785,"12936"
40719,53156,"12937"
54688,59490,"12939"
61250,69450,"12941"
47050,68793,"12942"
51591,51998,"12943"
47197,60776,"12944"
71250,88973,"12945"
55917,70618,"12946"
46667,55407,"12950"
42813,48969,"12952"
48684,60052,"12953"
64018,67577,"12955"
65125,73122,"12956"
34783,47775,"12957"
40456,48851,"12958"
44286,62228,"12959"
75781,72991,"12960"
NA,52857,"12961"
68852,81459,"12962"
NA,127806,"12964"
38542,44804,"12965"
42200,48479,"12966"
44145,47763,"12967"
40250,53083,"12969"
45000,56695,"12970"
66141,85191,"12972"
60000,63957,"12973"
40500,54887,"12974"
70509,78114,"12975"
61250,75605,"12976"
NA,NA,"12977"
NA,52141,"12978"
64417,74150,"12979"
40774,51895,"12980"
54886,64623,"12981"
50833,64184,"12983"
39722,56994,"12985"
50958,61552,"12986"
33942,47394,"12987"
62656,67411,"12989"
50403,59648,"12992"
43704,61842,"12993"
44643,51995,"12996"
65850,71741,"12997"
27684,28165,"12998"
45750,51549,"13020"
47486,61475,"13021"
NA,NA,"13024"
65750,73450,"13026"
69368,81478,"13027"
40000,72031,"13028"
68729,80485,"13029"
60871,69627,"13030"
70259,84624,"13031"
51581,62059,"13032"
60326,70284,"13033"
57000,76330,"13034"
70168,97811,"13035"
51722,63214,"13036"
64508,75657,"13037"
79474,90093,"13039"
46369,55406,"13040"
78929,90227,"13041"
55625,58013,"13042"
61027,72365,"13044"
46204,60364,"13045"
NA,18377,"13051"
53958,64050,"13052"
62917,84266,"13053"
51897,56451,"13054"
55848,65291,"13057"
57083,67906,"13060"
59861,68738,"13061"
NA,55388,"13062"
78352,90278,"13063"
NA,117655,"13064"
77004,106438,"13066"
65813,73749,"13068"
43858,58849,"13069"
63750,63711,"13071"
50938,54089,"13072"
54133,68689,"13073"
50992,56903,"13074"
51694,67484,"13076"
57366,69749,"13077"
83558,124175,"13078"
58889,70998,"13080"
58173,85633,"13081"
58077,71181,"13082"
49952,60907,"13083"
66513,77188,"13084"
133750,103448,"13087"
53091,64154,"13088"
68411,78805,"13090"
63125,66025,"13092"
60344,66297,"13101"
NA,NA,"13102"
NA,38601,"13103"
99631,130577,"13104"
75278,91897,"13108"
70769,82592,"13110"
52019,57992,"13111"
55000,70372,"13112"
61875,65063,"13113"
52188,63382,"13114"
40833,46316,"13115"
59209,74012,"13116"
54750,58992,"13117"
56375,64869,"13118"
55795,65108,"13120"
61518,75934,"13122"
66875,78355,"13123"
46094,59467,"13124"
47467,61739,"13126"
51847,63530,"13131"
57688,66555,"13132"
44583,52443,"13134"
49576,63782,"13135"
42212,48911,"13136"
NA,NA,"13138"
49681,56066,"13140"
44853,60765,"13141"
45542,56522,"13142"
46944,51836,"13143"
43404,55578,"13144"
44313,54625,"13145"
44954,51789,"13146"
66875,88228,"13147"
49393,61948,"13148"
86380,126061,"13152"
47250,71412,"13153"
45179,54344,"13155"
55773,59563,"13156"
39750,46199,"13157"
45500,60934,"13158"
72745,85417,"13159"
64630,70403,"13160"
81571,143545,"13162"
49444,55478,"13163"
72750,81199,"13164"
48344,59762,"13165"
56628,64928,"13166"
51250,62460,"13167"
15565,42901,"13202"
30731,47050,"13203"
28220,41285,"13204"
30284,42796,"13205"
38264,48898,"13206"
44741,57776,"13207"
32526,44937,"13208"
52218,61156,"13209"
25229,45418,"13210"
44579,50610,"13211"
51997,63631,"13212"
68424,81607,"13214"
82421,102963,"13215"
59590,72572,"13219"
51591,73291,"13224"
NA,NA,"13290"
74107,81067,"13301"
48594,55099,"13302"
64107,76040,"13303"
80469,92240,"13304"
90000,98075,"13305"
40585,49304,"13308"
53829,64048,"13309"
48188,51528,"13310"
40882,64302,"13312"
38438,44661,"13313"
43542,61068,"13314"
49861,56729,"13315"
44719,53665,"13316"
50900,64995,"13317"
58864,67448,"13318"
40833,44066,"13319"
55781,62646,"13320"
50168,48123,"13321"
45368,52064,"13322"
63169,84946,"13323"
37267,49158,"13324"
50391,75688,"13325"
60268,85611,"13326"
43676,54156,"13327"
55313,69322,"13328"
43295,51172,"13329"
74063,95303,"13331"
44114,54521,"13332"
60125,43519,"13333"
53750,76065,"13334"
57292,66816,"13335"
51932,94309,"13337"
47721,55592,"13338"
42936,53981,"13339"
45429,57642,"13340"
107938,87925,"13341"
56667,72737,"13342"
51576,71944,"13343"
NA,66234,"13345"
70227,84585,"13346"
42604,63737,"13348"
43988,50957,"13350"
NA,30398,"13352"
34375,33882,"13353"
69788,80648,"13354"
42672,48567,"13355"
42627,52205,"13357"
41406,64812,"13360"
51500,59619,"13361"
NA,74048,"13362"
58947,69241,"13363"
40625,50249,"13364"
43922,55705,"13365"
54543,64966,"13367"
45772,55814,"13368"
47500,52008,"13402"
81071,105359,"13403"
32500,37975,"13404"
54196,73614,"13406"
48417,61631,"13407"
49167,56559,"13408"
53631,63301,"13409"
53000,57252,"13410"
40688,51188,"13411"
68184,96609,"13413"
41250,50663,"13415"
56307,65190,"13416"
31289,41887,"13417"
53750,71631,"13418"
59750,80416,"13420"
46810,57947,"13421"
56489,61531,"13424"
49118,69530,"13425"
46297,58518,"13428"
60543,68786,"13431"
44103,47178,"13433"
46250,60582,"13435"
53750,62812,"13436"
47917,51814,"13437"
51471,65107,"13438"
47000,55721,"13439"
48906,62860,"13440"
NA,NA,"13441"
50179,45103,"13450"
40331,50414,"13452"
36125,39984,"13454"
63922,84481,"13456"
47348,59304,"13459"
44875,54871,"13460"
55943,71142,"13461"
44500,54694,"13464"
46000,66780,"13468"
70000,78786,"13469"
41339,53049,"13470"
50402,55837,"13471"
72167,76952,"13472"
56500,60405,"13473"
NA,58930,"13475"
51563,66129,"13476"
46375,57520,"13477"
59516,62645,"13478"
46146,56813,"13480"
42188,60900,"13483"
92796,78033,"13484"
40078,50577,"13485"
55583,62969,"13486"
62813,60616,"13488"
50750,63019,"13489"
67500,79621,"13490"
56181,62106,"13491"
61058,79543,"13492"
51532,56087,"13493"
45250,60394,"13494"
52500,56669,"13495"
31945,48421,"13501"
35340,49922,"13502"
45971,57231,"13601"
51364,49767,"13602"
41929,51826,"13603"
49142,59722,"13605"
54522,61490,"13606"
43615,56219,"13607"
50882,56655,"13608"
60567,65121,"13612"
42875,50067,"13613"
35625,56245,"13614"
54830,63829,"13615"
45179,47335,"13616"
